ZSJ,Byty MČ,Neobydlené byty MČ
100060,132,4
100140,200,9
100220,511,37
100310,250,14
100490,276,27
100650,319,18
100730,418,20
100810,58,6
100900,32,1
101030,174,11
101110,118,9
101200,26,2
101380,6,1
101460,144,9
101540,210,5
101710,8,1
101970,6,1
102190,4,NA
102270,22,NA
103240,30,3
103320,18,NA
103410,1,NA
103590,370,23
103670,496,27
103830,163,8
103910,322,22
104050,640,19
106770,230,10
106930,377,35
107070,121,6
107150,263,24
109100,282,20
109520,139,6
109610,160,15
109790,135,11
109950,121,12
110110,42,34
104130,480,10
104210,38,1
104300,49,1
104480,15,NA
104560,4,NA
104640,49,4
104720,7,1
104810,241,7
104990,185,4
105020,10,NA
3132710,456,11
3286000,8,2
113470,66,2
113630,635,15
113710,67,5
113980,20,2
114010,587,16
114360,635,26
114440,157,5
114520,92,6
114610,31,NA
115090,114,4
115170,276,9
115250,401,19
115330,41,1
115410,1,NA
115680,33,3
107230,70,7
107310,598,53
107400,561,28
107580,258,17
107740,312,6
107820,277,13
107910,863,35
108120,413,25
108210,662,11
108390,351,21
108470,136,16
108550,19,3
108630,6,NA
108710,2,NA
108800,966,18
108980,450,11
109010,295,6
1519120,1,NA
3185230,107,6
3185310,308,32
551058,2543,102
109360,307,26
110880,11,NA
110960,77,7
111000,75,2
111180,4,NA
111260,61,10
111420,130,1
111690,9,1
111770,354,18
111850,402,10
111930,213,8
112070,845,16
112150,55,3
112230,97,4
112310,71,11
112400,108,5
112580,547,11
112660,6,NA
112740,23,1
113040,1,NA
109870,2,NA
110290,852,35
110450,22,NA
110530,30,3
110610,165,1
110700,1,NA
120680,5,NA
120760,2,NA
120840,7,1
120920,7,1
121060,3,NA
121140,13,1
121490,1,NA
119670,59,3
119750,61,21
119830,18,NA
120090,13,6
551091,1411,18
120170,1,NA
120330,945,14
3040000,465,4
102860,6,NA
102940,383,6
103080,664,23
102350,40,2
103160,867,22
3039920,790,27
105530,73,1
105610,91,3
3208200,4,NA
117710,96,NA
117890,236,3
117970,857,22
118010,4,1
118270,573,6
118350,97,2
118510,1,NA
118600,1,NA
3286180,104,2
3286260,317,8
3286340,27,1
106180,3,NA
106420,72,2
117200,292,10
117460,1,NA
115840,67,3
115920,177,7
116060,312,9
116140,1,NA
116220,4,NA
116310,2,NA
116490,7,1
116730,3,2
124830,23,2
124910,21,3
125130,2,NA
125300,6,1
125560,2,NA
125720,11,1
111340,1204,20
3208030,24,1
123350,1,NA
123430,674,7
123600,2,NA
123860,1469,27
124080,3,NA
124160,1,NA
3132970,274,8
113390,2,1
122890,1,NA
123010,315,8
123270,1,NA
3133010,648,21
121730,2,NA
122200,12,NA
3133270,2,NA
85080,18,NA
